id_estado,nombre_estado,id_distrito_local,cabecera_distrital_local,id_municipio,municipio,seccion,morena,total_votos,lista_nominal,morena_pct,particip_pct
14,JALISCO,20,TONALA,72,EL SALTO,2047,60.0,467,745,12.85,62.68
14,JALISCO,20,TONALA,72,EL SALTO,2048,818.0,3242,7365,25.23,44.02
14,JALISCO,20,TONALA,72,EL SALTO,2049,1308.0,5321,13948,24.58,38.15
14,JALISCO,20,TONALA,102,TONALA,2683,420.0,2100,5695,20.0,36.87
14,JALISCO,20,TONALA,102,TONALA,2691,411.0,2035,4202,20.2,48.43
14,JALISCO,20,TONALA,102,TONALA,2695,1163.0,4957,12716,23.46,38.98
14,JALISCO,20,TONALA,102,TONALA,2696,148.0,638,1439,23.2,44.34
14,JALISCO,20,TONALA,102,TONALA,2721,1050.0,4454,14513,23.57,30.69
14,JALISCO,20,TONALA,102,TONALA,2722,885.0,3319,12631,26.66,26.28
14,JALISCO,20,TONALA,102,TONALA,2723,444.0,1549,4749,28.66,32.62
14,JALISCO,20,TONALA,102,TONALA,2724,683.0,2614,7153,26.13,36.54
14,JALISCO,20,TONALA,102,TONALA,2725,190.0,806,1809,23.57,44.56
14,JALISCO,20,TONALA,102,TONALA,2726,365.0,1518,4235,24.04,35.84
14,JALISCO,20,TONALA,102,TONALA,2728,1412.0,5427,16037,26.02,33.84
14,JALISCO,20,TONALA,102,TONALA,2729,493.0,1653,6049,29.82,27.33
14,JALISCO,20,TONALA,102,TONALA,3311,212.0,604,1773,35.1,34.07
